RegionWHO6,M49CodeFAOgeographicID,ISO2Code,ISO3Code,Country,WBincomegrouping2019,LatestDataYearofGINIIndex,GINIIndex,DoubleBurden20overweight1,DoubleBurden20overweightm,MDDWvalue,LatestDataYearofMDD,MDD623monthsvalue,SodiumIntakegday201095,LatestDataYearBreastFeeding,ExclusiveBreastFeeding05mon,LatestDataYearModerateSeve,ModerateChildFoodPoverty62,SevereChildFoodPoverty623m,LatestDataYearofintakeASF,IntakeofAnimalSourceFoods6,ZeroFruitorVegtable623mont,calories,Latestyearfreqeuencyprevalenc,Dailycarbonatedsoftdrinkcons,Dailyfrequencyoffruitconsump,Dailyfrequencyofvegetablecon,Weeklyfrequencyoffastfoodco,Prevalenceofatleastweeklyfa,Prevalenceoflessthandailyfr,Prevalenceoflessthandailyve,Latestyearall5foodgroupdi,Adults15yearsconsumingall,Foodgroupdiversityscore,Globaldietaryrecommendationss,NCDProtectscore,NCDRiskscore,Adultsage15yearsZeroveg,Adultsage15yearsSugarsw,Adultsage15yearsWholegr,Adultsage15yearsUnproces,Adultsage15yearsSweetfo,Adultsage15yearsProcesse,LatestyearSBSBRneonatalde,Numberofstillbirths,Stillbirthrate,Numberofneonataldeaths,Neonatalmortalityrate,NumberofU5deaths,U5mortalityrate,Latestyearlowbirthweight,Prevalenceoflowbirthweight,Latestyearprevalencewithoutb,Prevalenceofnewbornswithouta,Latestyearanaemiaprevalence,Prevalenceofanaemiainchildre,Latestyearchildstunting,Childstunting,Latestyearchildwasting,Childwasting,Latestyearchildoverweight,ChildOverweight,Prevalenceofanaemiainpregnan,Prevalenceofanaemiainnonpre,under,BMI,Latestyearchildandadolescent,Childandadolescentoverweight,BQ,Childandadolescentobesity,BS,Childandadolescentunderweight,Latestyearadultobesity,Adultobesityprevalence,Latestyearadultunderweight,Adultunderweightprevalence,Latestyearadultdiabetespreva,Adultdiabetesprevalence,LatestadultRBP,Adultraisedbloodpressureprev,LatestyearNCDmortalityratea,NCDmortalityrate,NCDprematuredeaths,Probabilityofdyingaged307,under2,nRegionWHO,RW,r
European,428.0,LV,LVA,Latvia,High,2020.0,35.7,,,,,,,,,,,,,,,3228.0,,,,,,,,,,,,,,,,,,,,,2021.0,58.0,3.401813063,35.0,2.05011354585799,65.0,3.67959788197295,2015.0,4.587481,2020.0,.42,2019.0,19.4,2022.0,1.8,2021.0,1.6,2022.0,6.4,23.2,21.6,2.296069264,51.34914517,,,,,2009.0,0.15911916150176,2003.0,20.3262103260832,1999.0,34.3288743609436,2014.0,7.21486659432854,2015.0,29.685,2019.0,558.7,26.9,21.6,0.83119863,European,European,
Eastern Mediterranean,422.0,LB,LBN,Lebanon,Upper middle,2011.0,31.8,,,56.0,,,3.13 (2.78–3.54),2018.0,59.00561,2018.0,55.24612,28.05865,2018.0,39.49392,35.13867,2857.0,2011.0,1.456533848,1.806757956,1.743151037,1.355406431,63.69329315,24.60432022,19.4314915,2021,26.0,4.63,10.95,3.17,1.22,11.0,16.0,58.0,9.0,25.0,7.0,2021.0,505.0,5.943482683,404.0,4.78467930474102,724.0,8.23884045598351,2015.0,9.2394466,,,2019.0,22.8,2022.0,7.4,2021.0,1.4,2022.0,8.3,27.7,28.3,2.995218709,63.1208241,2015.0,0.331097064605951,1984.0,0.0401028330512725,2003.0,0.196840521105187,2013.0,31.722524312537,1998.0,36.3525233403485,2014.0,13.3507951287358,2015.0,20.57,2019.0,526.9,42.0,19.9,1.0970173,Eastern Mediterranean,Eastern Mediterranean,-1.0550367
African,426.0,LS,LSO,Lesotho,Lower middle,2017.0,44.9,1.0,1.0,,2018.0,16.7,2.62 (2.21–3.11),2019.0,55.22839,2019.0,48.86245,42.53012,2019.0,49.59458,55.75479,2022.0,,,,,,,,,,,,,,,,,,,,,2021.0,1632.0,26.65838982,2100.0,35.2619089313981,4312.0,72.9253588878988,2015.0,14.6759,2017.0,7.74,2019.0,51.4,2022.0,31.8,2018.0,2.1,2022.0,6.9,33.5,27.5,4.981676117,46.09629214,1983.0,0.0126619587132505,2016.0,0.0503759274529633,,,2011.0,13.9630646550117,2007.0,20.3090637010872,2014.0,8.57907962659174,2015.0,28.425,2019.0,1137.2,65.5,42.7,1.6057664,African,African,
African,430.0,LR,LBR,Liberia,Low,2016.0,35.3,,,,2019.0,8.6,,,,,,,,,,2111.0,,,,,,,,,,,,,,,,,,,,,2021.0,3806.0,22.86209682,4866.0,29.9272495402151,12187.0,76.0401710938254,,,2017.0,70.95,2019.0,72.3,2022.0,26.6,2019.0,3.4,2022.0,5.3,49.7,41.9,8.093624562,31.77306354,2016.0,0.101162721591873,1977.0,0.000709566204902524,,,2015.0,9.89825669402243,1982.0,12.1658117302882,2014.0,7.6950220719606,2015.0,28.235,2019.0,506.4,60.5,17.8,2.0910766,African,African,
Eastern Mediterranean,434.0,LY,LBY,Libya,Upper middle,,,,,,,,4.24 (3.55–5.01),,,,,,,,,3138.0,,,,,,,,,,,,,,,,,,,,,2021.0,827.0,6.841747892,692.0,5.76388727737518,1306.0,10.7659289074167,,,,,2019.0,26.6,2022.0,52.2,2014.0,10.2,2022.0,28.7,29.4,29.9,2.150502615,65.90712667,1993.0,0.202878556695312,,,,,2009.0,29.3672260480087,2003.0,35.1894456271263,2014.0,15.8944072455692,2015.0,23.685,2019.0,479.0,54.0,18.6,0.7657016,Eastern Mediterranean,Eastern Mediterranean,
European,440.0,LT,LTU,Lithuania,High,2020.0,36.0,,,,,,,,,,,,,,,3478.0,,,,,,,,,,,,,,,,,,,,,2021.0,69.0,2.565021554,51.0,1.9111851213275,91.0,3.30875521667968,2015.0,6.5214977,2020.0,14.89,2019.0,17.8,2022.0,4.5,2021.0,4.8,2022.0,4.7,21.6,19.9,1.68471653,52.3963809,,,1997.0,0.0327849647503935,1999.0,0.183081933816418,,,2016.0,34.3626057081974,2014.0,8.00554117083813,2015.0,29.595,2019.0,525.0,25.5,19.3,0.5215973,European,European,
European,442.0,LU,LUX,Luxembourg,High,2020.0,33.4,,,,,,,2021.0,54.41311,2021.0,49.57108,24.42878,2021.0,43.99995,29.07914,3522.0,,,,,,,,,,,,,,,,,,,,,2021.0,24.0,3.610880539,11.0,1.65240385603494,18.0,2.73492408300199,2015.0,7.28269,2020.0,2.27,2019.0,11.7,,,,,,,15.0,10.1,2.008681931,47.15320468,2014.0,0.260356828778937,2010.0,0.0758710216456611,2014.0,0.0974050732151609,2007.0,19.4550931605022,2002.0,36.6719418142375,2014.0,5.43717106050072,2015.0,21.83,2019.0,303.1,23.4,9.7,0.6974788,European,European,
African,450.0,MG,MDG,Madagascar,Low,2012.0,42.6,,1.0,,2018.0,24.7,2.20 (1.85–2.58),2020.0,64.05251,2020.0,57.17381,25.52068,2020.0,36.06622,26.09501,1805.0,,,,,,,,,,,,,,,,,,,,,2021.0,16743.0,18.36309934,21571.0,24.1156733596992,57839.0,66.002997728841,2015.0,13.135983,2017.0,63.43,2019.0,49.5,2022.0,38.6,2021.0,7.2,2022.0,1.5,39.3,37.7,14.24555182,23.77550155,2016.0,0.106526259805567,2011.0,0.010910024761782,1996.0,0.319917164381838,2012.0,4.44764497150293,,,2012.0,5.35701529645407,2015.0,28.0,2019.0,665.2,63.9,26.0,2.6564448,African,African,
African,454.0,MW,MWI,Malawi,Low,2019.0,38.5,,1.0,56.0,2015.0,22.8,1.66 (1.47–1.86),2016.0,40.3,,,,,,,2660.0,2009.0,,1.971931999,2.03611598,,,22.32316251,12.47697775,2022,,,11.32,3.59,1.27,,,,,,,2021.0,10668.0,16.05749632,12608.0,19.2991809312194,26800.0,41.8992842072377,2015.0,11.97553,2018.0,6.24,2019.0,55.1,2022.0,34.0,2020.0,2.6,2022.0,3.9,39.3,30.6,8.745720983,25.19910932,2006.0,0.0632276908645409,2015.0,0.0175151292681942,1998.0,0.309014169034489,2009.0,4.26288535610949,2010.0,16.5549679929511,1995.0,3.91564350308947,2015.0,28.7,2019.0,589.8,65.8,22.6,2.1685646,African,African,-0.013090564
Western Pacific,458.0,MY,MYS,Malaysia,Upper middle,2018.0,41.2,1.0,,,,,3.57 (3.25–3.93),2017.0,63.03292,2017.0,22.9725,5.648435,2017.0,71.96887,15.14612,3010.0,2012.0,0.786509759,1.584200815,2.006871515,0.736325654,47.10585196,32.08409188,19.36941756,,,,,,,,,,,,,2021.0,2590.0,5.039263537,2153.0,4.21063428877331,3866.0,7.55612752543334,2015.0,27.8978,,,2019.0,24.6,2022.0,21.9,2019.0,9.7,2022.0,5.7,31.0,32.0,7.360051572,38.54035437,2007.0,0.183895284140819,2011.0,0.102804906324094,2016.0,0.264460723444588,2006.0,10.2527592359349,2007.0,24.410341737337,,,2015.0,23.03,2019.0,501.1,48.4,18.4,1.9960669,Western Pacific,Western Pacific,
